id|query|createdAt|updatedAt|UserId
89|dapang|2020-08-29 21:05:17.668+00|2020-08-29 21:05:17.668+00|1981
90|dapang|2020-09-01 20:31:20.608+00|2020-09-01 20:31:20.608+00|1981
91|""|2020-09-01 20:31:23.036+00|2020-09-01 20:31:23.036+00|1981
92|""|2020-09-01 20:32:47.061+00|2020-09-01 20:32:47.061+00|1981
93|football|2020-09-03 02:02:42.394+00|2020-09-03 02:02:42.394+00|2341
94|survey|2020-09-03 02:35:57.369+00|2020-09-03 02:35:57.369+00|2350
95|""|2020-09-03 02:36:00.066+00|2020-09-03 02:36:00.066+00|2350
96|""|2020-09-03 02:37:44.547+00|2020-09-03 02:37:44.547+00|2622
97|covid|2020-09-03 02:38:02.811+00|2020-09-03 02:38:02.811+00|2622
98|covid|2020-09-03 02:39:47.785+00|2020-09-03 02:39:47.785+00|2622
99|""|2020-09-03 02:43:47.439+00|2020-09-03 02:43:47.439+00|2350
100|election|2020-09-03 03:34:29.267+00|2020-09-03 03:34:29.267+00|2326
101|vote|2020-09-03 03:34:37.612+00|2020-09-03 03:34:37.612+00|2326
102|covid|2020-09-03 03:50:58.203+00|2020-09-03 03:50:58.203+00|2321
103|questions|2020-09-03 03:51:08.868+00|2020-09-03 03:51:08.868+00|2321
104|survey|2020-09-03 03:51:14.376+00|2020-09-03 03:51:14.376+00|2321
105|""|2020-09-03 04:03:00.205+00|2020-09-03 04:03:00.205+00|2618
106|malik_3915|2020-09-03 05:48:08.504+00|2020-09-03 05:48:08.504+00|2540
107|willie|2020-09-03 06:17:43.441+00|2020-09-03 06:17:43.441+00|2444
108|""|2020-09-03 06:18:41.205+00|2020-09-03 06:18:41.205+00|2293
109|Nuclear|2020-09-03 06:19:14.445+00|2020-09-03 06:19:14.445+00|2293
110|Energy|2020-09-03 06:19:23.711+00|2020-09-03 06:19:23.711+00|2293
111|Environment|2020-09-03 06:19:53.053+00|2020-09-03 06:19:53.053+00|2293
112|amy|2020-09-03 06:24:55.7+00|2020-09-03 06:24:55.7+00|2541
113|amy|2020-09-03 06:25:20.298+00|2020-09-03 06:25:20.298+00|2541
114|asia|2020-09-03 10:23:06.507+00|2020-09-03 10:23:06.507+00|1976
115|asia 4096|2020-09-03 11:04:37.071+00|2020-09-03 11:04:37.071+00|1976
116|survey|2020-09-03 11:06:21.532+00|2020-09-03 11:06:21.532+00|2750
117|asia|2020-09-03 11:06:36.862+00|2020-09-03 11:06:36.862+00|1976
118|trending|2020-09-03 11:10:59.034+00|2020-09-03 11:10:59.034+00|2333
119|Trump|2020-09-03 11:11:03.683+00|2020-09-03 11:11:03.683+00|2333
120|covid|2020-09-03 11:11:12.115+00|2020-09-03 11:11:12.115+00|2333
121|mask|2020-09-03 11:11:22.732+00|2020-09-03 11:11:22.732+00|2333
122|economy|2020-09-03 11:11:33.263+00|2020-09-03 11:11:33.263+00|2333
123|China|2020-09-03 11:11:39.076+00|2020-09-03 11:11:39.076+00|2333
124|USA|2020-09-03 11:11:43.436+00|2020-09-03 11:11:43.436+00|2333
125|survey|2020-09-03 11:25:20.432+00|2020-09-03 11:25:20.432+00|2702
126|covid|2020-09-03 11:25:23.694+00|2020-09-03 11:25:23.694+00|2702
