MTurk_ID,a_day0,a_day1,a_day2,a_day3,a_day4,a_day5,a_delta_10,a_delta_21,a_delta_32,a_delta_43,a_delta_54,delta_one,delta_two,delta_three,delta_four,delta_five,topic,id,role
A2ARIPM4X6WZAK,1,2,2,2,2,2,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,a,2688,Participant
A98E8M4QLI9RS,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2750,Participant
A3GWRDHAURRNK6,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2358,Observer
ARLGZWN6W91WD,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2636,Participant
A3U2VUZ2L7HIWG,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2718,Participant
A25ZOL1H79DW0P,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2328,Observer
A1FG2G9TZSDN,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2667,Participant
A28ANDQ58MEMGW,2,2,2,1,1,1,0.0,0.0,-1.0,0.0,0.0,1,2,3,2,1,a,2577,Participant
A18XVBWB2A270I,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2338,Observer
A3OHYXTHW11HS7,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2575,Participant
A3L5XFNSOY6QET,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2360,Observer
AADRZTXSE7211,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2618,Participant
AZTYIBLLB60V8,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2703,Participant
A15F2JTVAJXITI,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2297,Observer
A10IUXCZBNYUXC,2,1,1,1,1,1,-1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,a,2658,Participant
A3RVHUY67SVXQV,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2679,Participant
A1Y2G0UNCX95NH,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2604,Participant
A173A97OFDAX9F,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2601,Participant
A27OFCQG73Z4UF,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2321,Observer
A3FJ3XMXO8UAJ0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2339,Observer
A3PRFA3M7OSCT5,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2622,Participant
AK1PBMID4RD59,3,2,2,2,2,3,-1.0,0.0,0.0,0.0,1.0,2,2,2,2,0,a,2687,Participant
AWDVZCZQZFE7K,3,3,3,3,3,4,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,a,2313,Observer
AFO9MCOXXSYY7,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2352,Observer
A1B9H14AV44C0G,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2701,Participant
A2MPOAEQ25ZJAD,3,3,3,3,3,4,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,a,2570,Participant
A33Z6BHAJUGCHY,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2324,Observer
A27KZJJR9201NN,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2603,Participant
A1AIMKA54UBYIQ,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2638,Participant
A1O57XVTTB1PNZ,3,4,4,4,4,4,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,a,2655,Participant
A2OX8TSRCU6NKD,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2649,Participant
A2AYD8G2NV0RNQ,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2608,Participant
A3C8JI69WPTKWH,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2702,Participant
A35AMS7DP33RQZ,4,3,3,3,3,3,-1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,a,2308,Observer
A2VGFS03KCCR1Q,2,2,2,2,2,3,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,a,2280,Observer
A25XQ0GFZ57PPU,1,2,2,2,2,2,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,a,2293,Observer
A53S7J4JGWG38,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2610,Participant
ASXFMHGSF0GU6,3,3,3,3,2,3,0.0,0.0,0.0,-1.0,1.0,2,1,1,1,0,a,2714,Participant
AEOVYZ83Q3GX4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2301,Observer
A2IYR9HF66R029,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2296,Observer
AJZEXCH1TSUE1,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2654,Participant
APX27OTNP4SYJ,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2704,Participant
A8ZUM922CBH6S,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2665,Participant
A3R92SZR28XVHP,4,4,4,3,3,4,0.0,0.0,-1.0,0.0,1.0,2,3,2,1,0,a,2663,Participant
A2HJYX70UQW9XR,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2330,Observer
AKSJ3C5O3V9RB,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2709,Participant
A3RB9WPEC9YL2P,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2304,Observer
A1H7XQCN2TQJM7,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2342,Observer
A2WUXZOY4CRF5R,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2275,Observer
AJMWTFJTL8RLM,3,2,2,2,2,3,-1.0,0.0,0.0,0.0,1.0,2,2,2,2,0,a,2288,Observer
AYTH0E5PUXWX8,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2350,Observer
A3201SGKC2IXYI,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,a,2596,Participant
A2UAHW3Q7S45JP,3,3,3,3,3,4,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,a,2333,Observer
