MTurk_ID,c_day0,c_day1,c_day2,c_day3,c_day4,c_day5,c_delta_10,c_delta_21,c_delta_32,c_delta_43,c_delta_54,delta_one,delta_two,delta_three,delta_four,delta_five,topic,id,role
A2ARIPM4X6WZAK,1,4,4,4,4,4,3.0,0.0,0.0,0.0,0.0,1,1,1,1,1,c,2688,Participant
A98E8M4QLI9RS,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2750,Participant
A3GWRDHAURRNK6,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2358,Observer
ARLGZWN6W91WD,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2636,Participant
A3U2VUZ2L7HIWG,3,3,3,3,2,2,0.0,0.0,0.0,-1.0,0.0,1,2,2,2,1,c,2718,Participant
A25ZOL1H79DW0P,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2328,Observer
A1FG2G9TZSDN,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2667,Participant
A28ANDQ58MEMGW,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2577,Participant
A18XVBWB2A270I,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2338,Observer
A3OHYXTHW11HS7,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2575,Participant
A3L5XFNSOY6QET,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2360,Observer
AADRZTXSE7211,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2618,Participant
AZTYIBLLB60V8,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2703,Participant
A15F2JTVAJXITI,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2297,Observer
A10IUXCZBNYUXC,2,2,2,1,1,1,0.0,0.0,-1.0,0.0,0.0,1,2,3,2,1,c,2658,Participant
A3RVHUY67SVXQV,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2679,Participant
A1Y2G0UNCX95NH,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2604,Participant
A173A97OFDAX9F,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2601,Participant
