MTurk_ID,f_day0,f_day1,f_day2,f_day3,f_day4,f_day5,f_delta_10,f_delta_21,f_delta_32,f_delta_43,f_delta_54,delta_one,delta_two,delta_three,delta_four,delta_five,topic,id,role
A2ARIPM4X6WZAK,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2688,Participant
A98E8M4QLI9RS,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2750,Participant
A3GWRDHAURRNK6,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2358,Observer
ARLGZWN6W91WD,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2636,Participant
A3U2VUZ2L7HIWG,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2718,Participant
A25ZOL1H79DW0P,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2328,Observer
A1FG2G9TZSDN,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2667,Participant
A28ANDQ58MEMGW,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2577,Participant
A18XVBWB2A270I,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2338,Observer
A3OHYXTHW11HS7,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2575,Participant
A3L5XFNSOY6QET,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2360,Observer
AADRZTXSE7211,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2618,Participant
AZTYIBLLB60V8,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2703,Participant
A15F2JTVAJXITI,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2297,Observer
A10IUXCZBNYUXC,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2658,Participant
A3RVHUY67SVXQV,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2679,Participant
A1Y2G0UNCX95NH,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2604,Participant
A173A97OFDAX9F,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,f,2601,Participant
