"time","bin","user"
1,"Low","Allison_2018"
2,"Low","Allison_2018"
3,"Low","Allison_2018"
4,"Low","Allison_2018"
5,"Low","Allison_2018"
1,"High","Allison_2019"
2,"High","Allison_2019"
3,"Med","Allison_2019"
4,"Med","Allison_2019"
5,"Low","Allison_2019"
1,"Med","Allison_3206"
2,"Low","Allison_3206"
3,"Low","Allison_3206"
4,"Low","Allison_3206"
5,"Low","Allison_3206"
1,"Med","Allison_3341"
2,"Med","Allison_3341"
3,"High","Allison_3341"
4,"High","Allison_3341"
5,"High","Allison_3341"
1,"High","Allison_5893"
2,"Low","Allison_5893"
3,"Low","Allison_5893"
4,"Low","Allison_5893"
5,"Low","Allison_5893"
1,"Low","Amy_3504"
2,"Low","Amy_3504"
3,"Low","Amy_3504"
4,"Low","Amy_3504"
5,"Med","Amy_3504"
1,"Low","Amy_731"
2,"Med","Amy_731"
3,"Med","Amy_731"
4,"Med","Amy_731"
5,"Low","Amy_731"
1,"Low","Amy_7578"
2,"Low","Amy_7578"
3,"High","Amy_7578"
4,"High","Amy_7578"
5,"Low","Amy_7578"
1,"Low","Asia_4906"
2,"Med","Asia_4906"
3,"Low","Asia_4906"
4,"High","Asia_4906"
5,"Low","Asia_4906"
1,"Low","Asia_8753"
2,"Low","Asia_8753"
3,"Med","Asia_8753"
4,"High","Asia_8753"
5,"Low","Asia_8753"
1,"Low","Bradley_3491"
2,"Low","Bradley_3491"
3,"Low","Bradley_3491"
4,"Low","Bradley_3491"
5,"Low","Bradley_3491"
1,"Low","Bradley_9469"
2,"Low","Bradley_9469"
3,"Low","Bradley_9469"
4,"Low","Bradley_9469"
5,"Low","Bradley_9469"
1,"Low","Bradley_9823"
2,"Low","Bradley_9823"
3,"Low","Bradley_9823"
4,"Low","Bradley_9823"
5,"Low","Bradley_9823"
1,"Med","Carly_7695"
2,"Low","Carly_7695"
3,"Low","Carly_7695"
4,"Low","Carly_7695"
5,"Med","Carly_7695"
1,"Low","Carly_8867"
2,"High","Carly_8867"
3,"High","Carly_8867"
4,"High","Carly_8867"
5,"High","Carly_8867"
1,"Low","Claire_563"
2,"Low","Claire_563"
3,"Low","Claire_563"
4,"Low","Claire_563"
5,"Low","Claire_563"
1,"Low","Claire_679"
2,"Med","Claire_679"
3,"Low","Claire_679"
4,"Med","Claire_679"
5,"Med","Claire_679"
1,"High","Claire_8713"
2,"High","Claire_8713"
3,"Med","Claire_8713"
4,"High","Claire_8713"
5,"High","Claire_8713"
1,"Med","Cody_5364"
2,"High","Cody_5364"
3,"High","Cody_5364"
4,"High","Cody_5364"
5,"Low","Cody_5364"
1,"Low","Cole_6918"
2,"Low","Cole_6918"
3,"Low","Cole_6918"
4,"Low","Cole_6918"
5,"Low","Cole_6918"
1,"Low","Cole_7125"
2,"Low","Cole_7125"
3,"Low","Cole_7125"
4,"Low","Cole_7125"
5,"Low","Cole_7125"
1,"Low","Cole_9336"
2,"Low","Cole_9336"
3,"Low","Cole_9336"
4,"Low","Cole_9336"
5,"Low","Cole_9336"
1,"Low","Connor_8803"
2,"Low","Connor_8803"
3,"Low","Connor_8803"
4,"Low","Connor_8803"
5,"Low","Connor_8803"
1,"Low","Connor_9123"
2,"Low","Connor_9123"
3,"Low","Connor_9123"
4,"Low","Connor_9123"
5,"Low","Connor_9123"
1,"Med","Diamond_1228"
2,"Low","Diamond_1228"
3,"Low","Diamond_1228"
4,"Low","Diamond_1228"
5,"Low","Diamond_1228"
1,"Low","Diamond_3595"
2,"Low","Diamond_3595"
3,"Med","Diamond_3595"
4,"Low","Diamond_3595"
5,"Low","Diamond_3595"
1,"Low","Diamond_6743"
2,"Low","Diamond_6743"
3,"Low","Diamond_6743"
4,"Low","Diamond_6743"
5,"Low","Diamond_6743"
1,"Low","Dustin_3123"
2,"Low","Dustin_3123"
3,"Low","Dustin_3123"
4,"Low","Dustin_3123"
5,"Low","Dustin_3123"
1,"High","Dustin_3915"
2,"High","Dustin_3915"
3,"High","Dustin_3915"
4,"High","Dustin_3915"
5,"Med","Dustin_3915"
1,"Low","Emily_3830"
2,"Low","Emily_3830"
3,"Low","Emily_3830"
4,"Low","Emily_3830"
5,"Low","Emily_3830"
1,"Med","Emily_5181"
2,"Low","Emily_5181"
3,"Low","Emily_5181"
4,"Low","Emily_5181"
5,"Low","Emily_5181"
1,"Low","Emma_9672"
2,"Low","Emma_9672"
3,"Low","Emma_9672"
4,"Low","Emma_9672"
5,"Low","Emma_9672"
1,"Low","Hannah_5834"
2,"Low","Hannah_5834"
3,"Low","Hannah_5834"
4,"Low","Hannah_5834"
5,"Low","Hannah_5834"
1,"Low","Hannah_6992"
2,"Low","Hannah_6992"
3,"Low","Hannah_6992"
4,"Low","Hannah_6992"
5,"Low","Hannah_6992"
1,"Low","Hannah_8848"
2,"Low","Hannah_8848"
3,"Low","Hannah_8848"
4,"Low","Hannah_8848"
5,"Low","Hannah_8848"
1,"Low","Heather_1039"
2,"Low","Heather_1039"
3,"Low","Heather_1039"
4,"Low","Heather_1039"
5,"Low","Heather_1039"
1,"Low","Heather_253"
2,"Med","Heather_253"
3,"Low","Heather_253"
4,"High","Heather_253"
5,"High","Heather_253"
1,"Low","Heather_6355"
2,"Low","Heather_6355"
3,"Med","Heather_6355"
4,"Med","Heather_6355"
5,"Low","Heather_6355"
1,"Low","Holly_2257"
2,"Low","Holly_2257"
3,"Low","Holly_2257"
4,"Low","Holly_2257"
5,"Low","Holly_2257"
1,"Med","Jack_5128"
2,"Med","Jack_5128"
3,"High","Jack_5128"
4,"High","Jack_5128"
5,"Low","Jack_5128"
