"MTurk_ID","id","Role","survey","influence_1","influence_2","influence_3","influence_4"
"A3OHYXTHW11HS7",2575,"participant","1",2593,2679,NA,NA
"A3L5XFNSOY6QET",2360,"observer","1",2704,2407,NA,NA
"A26OOAGHOYSGYF",2407,"sockpuppet","1",2627,2387,2688,NA
"A26OOAGHOYSGYF",2408,"sockpuppet","1",2627,2387,2688,NA
"A26OOAGHOYSGYF",2409,"sockpuppet","1",2627,2387,2688,NA
"A26OOAGHOYSGYF",2410,"sockpuppet","1",2627,2387,2688,NA
"A173A97OFDAX9F",2601,"participant","1",2593,2654,2577,NA
"A3FJ3XMXO8UAJ0",2339,"observer","1",2704,2540,2593,NA
"APRZ7BR8C0ZMQ",2387,"sockpuppet","1",2658,2704,NA,NA
"APRZ7BR8C0ZMQ",2388,"sockpuppet","1",2658,2704,NA,NA
"APRZ7BR8C0ZMQ",2389,"sockpuppet","1",2658,2704,NA,NA
"APRZ7BR8C0ZMQ",2390,"sockpuppet","1",2658,2704,NA,NA
"APRZ7BR8C0ZMQ",2391,"sockpuppet","1",2658,2704,NA,NA
"A3PRFA3M7OSCT5",2622,"participant","1",2407,2654,NA,NA
"AK1PBMID4RD59",2687,"participant","1",2627,2667,2593,NA
"A1B9H14AV44C0G",2701,"participant","1",2627,2658,2407,NA
"A27KZJJR9201NN",2603,"participant","1",2580,2679,2593,NA
"A247TCDIBB07JC",2454,"sockpuppet","1",2622,2665,2654,NA
"A247TCDIBB07JC",2455,"sockpuppet","1",2622,2665,2654,NA
"A247TCDIBB07JC",2456,"sockpuppet","1",2622,2665,2654,NA
"A247TCDIBB07JC",2457,"sockpuppet","1",2622,2665,2654,NA
"A2OX8TSRCU6NKD",2649,"participant","1",2540,NA,NA,NA
"A35AMS7DP33RQZ",2308,"observer","1",2454,NA,NA,NA
"A53S7J4JGWG38",2610,"participant","1",2596,NA,NA,NA
"ASXFMHGSF0GU6",2714,"participant","1",2627,NA,NA,NA
"AEOVYZ83Q3GX4",2301,"observer","1",2658,2543,NA,NA
"AJZEXCH1TSUE1",2654,"participant","1",2407,2593,2667,NA
"A2HJYX70UQW9XR",2330,"observer","1",2658,2704,2667,NA
"A1W845RVTAYPYN",2331,"observer","1",2711,2627,2658,NA
"A2UAHW3Q7S45JP",2333,"observer","1",2719,2750,NA,NA
"AK1PBMID4RD59",2687,"participant","2",2441,2704,2527,NA
"A36GU3OHGLDS8R",2341,"observer","2",2527,2627,2658,NA
"A1AIMKA54UBYIQ",2638,"participant","2",2687,2540,NA,NA
"AJZEXCH1TSUE1",2654,"participant","2",2711,2658,2667,NA
"A173A97OFDAX9F",2601,"participant","2",2704,2658,NA,NA
"A3FJ3XMXO8UAJ0",2339,"observer","2",2441,2627,2658,NA
"A3L9K9DZI8LFM4",2620,"participant","2",2667,2711,2702,NA
"A345TDMHP3DQ3G",2553,"sockpuppet","2",2577,2559,NA,NA
"A345TDMHP3DQ3G",2554,"sockpuppet","2",2577,2559,NA,NA
"A345TDMHP3DQ3G",2555,"sockpuppet","2",2577,2559,NA,NA
"A345TDMHP3DQ3G",2556,"sockpuppet","2",2577,2559,NA,NA
"A345TDMHP3DQ3G",2557,"sockpuppet","2",2577,2559,NA,NA
"AADRZTXSE7211",2618,"participant","2",2704,2691,NA,NA
"AJMWTFJTL8RLM",2288,"observer","2",2711,NA,NA,NA
"A247TCDIBB07JC",2454,"sockpuppet","2",2545,2711,2658,NA
"A247TCDIBB07JC",2455,"sockpuppet","2",2545,2711,2658,NA
"A247TCDIBB07JC",2456,"sockpuppet","2",2545,2711,2658,NA
"A247TCDIBB07JC",2457,"sockpuppet","2",2545,2711,2658,NA
"A1B9H14AV44C0G",2701,"participant","2",2545,2711,2658,NA
"A3L5XFNSOY6QET",2360,"observer","2",2545,2711,2704,NA
"A3OHYXTHW11HS7",2575,"participant","2",2658,2441,2545,NA
"A3RB9WPEC9YL2P",2304,"observer","2",2618,2627,NA,NA
"A3PRFA3M7OSCT5",2622,"participant","2",2627,2575,NA,NA
"A3RVHUY67SVXQV",2679,"participant","2",2593,NA,NA,NA
"A314KKX6ONDO9O",2588,"participant","2",2527,2441,2638,NA
"A2HJYX70UQW9XR",2330,"observer","2",2711,2575,2688,NA
"A25XQ0GFZ57PPU",2293,"observer","2",2702,2704,NA,NA
"A2UAHW3Q7S45JP",2333,"observer","2",2622,2601,2575,NA
"A345TDMHP3DQ3G",2553,"sockpuppet","3",2667,2542,2711,NA
"A345TDMHP3DQ3G",2554,"sockpuppet","3",2667,2542,2711,NA
"A345TDMHP3DQ3G",2555,"sockpuppet","3",2667,2542,2711,NA
"A345TDMHP3DQ3G",2556,"sockpuppet","3",2667,2542,2711,NA
"A345TDMHP3DQ3G",2557,"sockpuppet","3",2667,2542,2711,NA
"A1AIMKA54UBYIQ",2638,"participant","3",2620,2709,NA,NA
"A25XQ0GFZ57PPU",2293,"observer","3",2577,2618,NA,NA
"AJMWTFJTL8RLM",2288,"observer","3",2604,2622,NA,NA
"A3PRFA3M7OSCT5",2622,"participant","3",2667,2688,2610,NA
"AK1PBMID4RD59",2687,"participant","3",2622,2711,NA,NA
"A3L9K9DZI8LFM4",2620,"participant","3",2688,2575,2711,NA
"A3OHYXTHW11HS7",2575,"participant","3",2711,2540,2702,NA
"A314KKX6ONDO9O",2588,"participant","3",2691,2575,2711,NA
"A173A97OFDAX9F",2601,"participant","3",2627,2575,2711,NA
"A3EYRDEQ7CXUMN",2593,"participant","3",2658,NA,NA,NA
"A28ANDQ58MEMGW",2577,"participant","3",2688,2667,2622,NA
"A36GU3OHGLDS8R",2341,"observer","3",2711,2663,2575,NA
"A1B9H14AV44C0G",2701,"participant","3",2711,2622,2702,NA
"AYTH0E5PUXWX8",2350,"observer","3",2704,NA,NA,NA
"A35AMS7DP33RQZ",2308,"observer","3",2667,NA,NA,NA
"A3L5XFNSOY6QET",2360,"observer","3",2542,2544,2593,2540
"A3RB9WPEC9YL2P",2304,"observer","3",2711,NA,NA,NA
"A3FJ3XMXO8UAJ0",2339,"observer","3",2679,2622,2593,NA
"A247TCDIBB07JC",2454,"sockpuppet","3",2544,2622,2702,NA
"A247TCDIBB07JC",2455,"sockpuppet","3",2544,2622,2702,NA
"A247TCDIBB07JC",2456,"sockpuppet","3",2544,2622,2702,NA
"A247TCDIBB07JC",2457,"sockpuppet","3",2544,2622,2702,NA
"A2HJYX70UQW9XR",2330,"observer","3",2545,2542,2544,2667
"A2UAHW3Q7S45JP",2333,"observer","3",2542,2544,2540,2702
"AEOVYZ83Q3GX4",2301,"observer","4",2622,2663,NA,NA
"A173A97OFDAX9F",2601,"participant","4",2542,2593,2688,NA
"A3L5XFNSOY6QET",2360,"observer","4",2704,2711,2627,NA
"A1B9H14AV44C0G",2701,"participant","4",2620,2667,2704,NA
"A1AIMKA54UBYIQ",2638,"participant","4",2687,2601,2649,NA
"A345TDMHP3DQ3G",2553,"sockpuppet","4",2688,2667,2577,NA
"A345TDMHP3DQ3G",2554,"sockpuppet","4",2688,2667,2577,NA
"A345TDMHP3DQ3G",2555,"sockpuppet","4",2688,2667,2577,NA
"A345TDMHP3DQ3G",2556,"sockpuppet","4",2688,2667,2577,NA
"A345TDMHP3DQ3G",2557,"sockpuppet","4",2688,2667,2577,NA
"AJMWTFJTL8RLM",2288,"observer","4",2658,NA,NA,NA
"A314KKX6ONDO9O",2588,"participant","4",2667,2638,2622,NA
"A36GU3OHGLDS8R",2341,"observer","4",2702,2687,2542,NA
"A3L9K9DZI8LFM4",2620,"participant","4",2658,2575,NA,NA
"A3PRFA3M7OSCT5",2622,"participant","4",2687,2702,2704,NA
"A2UAHW3Q7S45JP",2333,"observer","4",2540,2709,2638,NA
"A3OHYXTHW11HS7",2575,"participant","4",2704,2658,2593,NA
"A247TCDIBB07JC",2454,"sockpuppet","4",2540,2542,NA,NA
"A247TCDIBB07JC",2455,"sockpuppet","4",2540,2542,NA,NA
"A247TCDIBB07JC",2456,"sockpuppet","4",2540,2542,NA,NA
"A247TCDIBB07JC",2457,"sockpuppet","4",2540,2542,NA,NA
"A3RB9WPEC9YL2P",2304,"observer","4",2618,2622,2688,NA
"A3FJ3XMXO8UAJ0",2339,"observer","4",2711,2593,2687,NA
"ASXFMHGSF0GU6",2714,"participant","4",2663,NA,NA,NA
"ARR3UJTM2ZGK4",2734,"participant","4",2388,NA,NA,NA
"A2HJYX70UQW9XR",2330,"observer","4",2702,2575,NA,NA
"A28ANDQ58MEMGW",2577,"participant","4",2540,2658,2688,NA
"A345TDMHP3DQ3G",2553,"sockpuppet","5",2667,2577,2687,NA
"A345TDMHP3DQ3G",2554,"sockpuppet","5",2667,2577,2687,NA
"A345TDMHP3DQ3G",2555,"sockpuppet","5",2667,2577,2687,NA
"A345TDMHP3DQ3G",2556,"sockpuppet","5",2667,2577,2687,NA
"A345TDMHP3DQ3G",2557,"sockpuppet","5",2667,2577,2687,NA
"A3L5XFNSOY6QET",2360,"observer","5",2687,2540,NA,NA
"AJMWTFJTL8RLM",2288,"observer","5",2658,2702,2704,2687
"A1AIMKA54UBYIQ",2638,"participant","5",2704,2703,2543,NA
"A3L9K9DZI8LFM4",2620,"participant","5",2701,2543,2610,NA
"A173A97OFDAX9F",2601,"participant","5",2702,2687,2704,NA
"A314KKX6ONDO9O",2588,"participant","5",2702,2543,2658,NA
"A36GU3OHGLDS8R",2341,"observer","5",2704,2540,2688,NA
"A28ANDQ58MEMGW",2577,"participant","5",2688,NA,NA,NA
"A35AMS7DP33RQZ",2308,"observer","5",2687,NA,NA,NA
"A3OHYXTHW11HS7",2575,"participant","5",2702,2687,NA,NA
"AADRZTXSE7211",2618,"participant","5",2688,2575,NA,NA
"A1B9H14AV44C0G",2701,"participant","5",2543,2702,NA,NA
"A3PRFA3M7OSCT5",2622,"participant","5",2688,2543,NA,NA
"A247TCDIBB07JC",2454,"sockpuppet","5",2702,2687,2543,NA
"A247TCDIBB07JC",2455,"sockpuppet","5",2702,2687,2543,NA
"A247TCDIBB07JC",2456,"sockpuppet","5",2702,2687,2543,NA
"A247TCDIBB07JC",2457,"sockpuppet","5",2702,2687,2543,NA
"A3RB9WPEC9YL2P",2304,"observer","5",2704,2543,NA,NA
"A2UAHW3Q7S45JP",2333,"observer","5",2702,2601,2750,NA
