createdAt|updatedAt|FollowerId|FollowingId
2020-09-01 20:32:51.454+00|2020-09-01 20:32:51.454+00|1980|1981
2020-09-03 02:00:20.287+00|2020-09-03 02:00:20.287+00|2580|1980
2020-09-03 02:35:13.799+00|2020-09-03 02:35:13.799+00|1980|1976
2020-09-03 02:40:55.826+00|2020-09-03 02:40:55.826+00|2593|1980
2020-09-03 02:58:43.612+00|2020-09-03 02:58:43.612+00|2679|2657
2020-09-03 03:05:51.259+00|2020-09-03 03:05:51.259+00|2593|2679
2020-09-03 03:16:06.213+00|2020-09-03 03:16:06.213+00|2593|2657
2020-09-03 03:19:03.95+00|2020-09-03 03:19:03.95+00|2622|2657
2020-09-03 03:19:42.404+00|2020-09-03 03:19:42.404+00|2719|2657
2020-09-03 03:19:50.713+00|2020-09-03 03:19:50.713+00|2580|2657
2020-09-03 03:22:30.224+00|2020-09-03 03:22:30.224+00|2665|2622
2020-09-03 03:23:00.732+00|2020-09-03 03:23:00.732+00|2622|2604
2020-09-03 03:23:37.334+00|2020-09-03 03:23:37.334+00|2657|2622
2020-09-03 03:24:48.324+00|2020-09-03 03:24:48.324+00|2665|2657
2020-09-03 04:05:24.246+00|2020-09-03 04:05:24.246+00|2618|2665
2020-09-03 04:19:41.3+00|2020-09-03 04:19:41.3+00|2622|2665
2020-09-03 06:18:04.092+00|2020-09-03 06:18:04.092+00|2441|2444
2020-09-03 06:25:24.811+00|2020-09-03 06:25:24.811+00|2542|2541
2020-09-03 10:42:34.018+00|2020-09-03 10:42:34.018+00|2604|2750
2020-09-03 10:58:36.172+00|2020-09-03 10:58:36.172+00|2604|2622
2020-09-03 11:01:11.201+00|2020-09-03 11:01:11.201+00|2540|2665
2020-09-03 11:01:22.66+00|2020-09-03 11:01:22.66+00|2580|2665
2020-09-03 11:11:31.313+00|2020-09-03 11:11:31.313+00|2540|2750
2020-09-03 11:22:31.277+00|2020-09-03 11:22:31.277+00|2444|2665
2020-09-03 11:38:36.061+00|2020-09-03 11:38:36.061+00|2665|2750
2020-09-03 11:50:17.46+00|2020-09-03 11:50:17.46+00|2544|2665
2020-09-03 11:59:04.39+00|2020-09-03 11:59:04.39+00|2544|2541
2020-09-03 12:19:47.826+00|2020-09-03 12:19:47.826+00|2540|2544
2020-09-03 12:20:08.691+00|2020-09-03 12:20:08.691+00|2541|2544
2020-09-03 12:20:31.085+00|2020-09-03 12:20:31.085+00|2542|2544
2020-09-03 12:33:25.269+00|2020-09-03 12:33:25.269+00|2545|2544
2020-09-03 12:33:54.886+00|2020-09-03 12:33:54.886+00|2543|2544
2020-09-03 12:34:07.872+00|2020-09-03 12:34:07.872+00|2543|2540
2020-09-03 12:34:15.664+00|2020-09-03 12:34:15.664+00|2543|2541
2020-09-03 12:34:26.479+00|2020-09-03 12:34:26.479+00|2543|2542
2020-09-03 12:34:50.98+00|2020-09-03 12:34:50.98+00|2545|2543
2020-09-03 12:35:03.892+00|2020-09-03 12:35:03.892+00|2545|2540
2020-09-03 12:36:32.887+00|2020-09-03 12:36:32.887+00|2544|2543
