"MTurk_ID","id","Role","survey","influence_1","influence_2","influence_3","influence_4"
"A3L5XFNSOY6QET",2360,"observer","1",2704,2407,NA,NA
"A3FJ3XMXO8UAJ0",2339,"observer","1",2704,2540,2593,NA
"A35AMS7DP33RQZ",2308,"observer","1",2454,NA,NA,NA
"AEOVYZ83Q3GX4",2301,"observer","1",2658,2543,NA,NA
"A2HJYX70UQW9XR",2330,"observer","1",2658,2704,2667,NA
"A1W845RVTAYPYN",2331,"observer","1",2711,2627,2658,NA
"A2UAHW3Q7S45JP",2333,"observer","1",2719,2750,NA,NA
"A36GU3OHGLDS8R",2341,"observer","2",2527,2627,2658,NA
"A3FJ3XMXO8UAJ0",2339,"observer","2",2441,2627,2658,NA
"AJMWTFJTL8RLM",2288,"observer","2",2711,NA,NA,NA
"A3L5XFNSOY6QET",2360,"observer","2",2545,2711,2704,NA
"A3RB9WPEC9YL2P",2304,"observer","2",2618,2627,NA,NA
"A2HJYX70UQW9XR",2330,"observer","2",2711,2575,2688,NA
"A25XQ0GFZ57PPU",2293,"observer","2",2702,2704,NA,NA
"A2UAHW3Q7S45JP",2333,"observer","2",2622,2601,2575,NA
"A25XQ0GFZ57PPU",2293,"observer","3",2577,2618,NA,NA
"AJMWTFJTL8RLM",2288,"observer","3",2604,2622,NA,NA
"A36GU3OHGLDS8R",2341,"observer","3",2711,2663,2575,NA
"AYTH0E5PUXWX8",2350,"observer","3",2704,NA,NA,NA
"A35AMS7DP33RQZ",2308,"observer","3",2667,NA,NA,NA
"A3L5XFNSOY6QET",2360,"observer","3",2542,2544,2593,2540
"A3RB9WPEC9YL2P",2304,"observer","3",2711,NA,NA,NA
"A3FJ3XMXO8UAJ0",2339,"observer","3",2679,2622,2593,NA
"A2HJYX70UQW9XR",2330,"observer","3",2545,2542,2544,2667
"A2UAHW3Q7S45JP",2333,"observer","3",2542,2544,2540,2702
"AEOVYZ83Q3GX4",2301,"observer","4",2622,2663,NA,NA
"A3L5XFNSOY6QET",2360,"observer","4",2704,2711,2627,NA
"AJMWTFJTL8RLM",2288,"observer","4",2658,NA,NA,NA
"A36GU3OHGLDS8R",2341,"observer","4",2702,2687,2542,NA
"A2UAHW3Q7S45JP",2333,"observer","4",2540,2709,2638,NA
"A3RB9WPEC9YL2P",2304,"observer","4",2618,2622,2688,NA
"A3FJ3XMXO8UAJ0",2339,"observer","4",2711,2593,2687,NA
"A2HJYX70UQW9XR",2330,"observer","4",2702,2575,NA,NA
"A3L5XFNSOY6QET",2360,"observer","5",2687,2540,NA,NA
"AJMWTFJTL8RLM",2288,"observer","5",2658,2702,2704,2687
"A36GU3OHGLDS8R",2341,"observer","5",2704,2540,2688,NA
"A35AMS7DP33RQZ",2308,"observer","5",2687,NA,NA,NA
"A3RB9WPEC9YL2P",2304,"observer","5",2704,2543,NA,NA
"A2UAHW3Q7S45JP",2333,"observer","5",2702,2601,2750,NA
