id,text,createdAt,updatedAt,PostId,CommenterId,AuthorId,norm_text,labels,scores
51,"Nuclear energy, with proper safety in place, is one the cleanest and most efficient forms of energy there is. ",2020-09-03 02:19:56.218000+00:00,2020-09-03 02:19:56.226000+00:00,93.0,2593.0,2593,Nuclear energy with proper safety in place is one the cleanest and most efficient forms of energy there is ,positive,0.9929952025413513
52,"but it creates nuclear waste,has major accidents,causing a risk of cancer,and the cost of nuclear energy is higher than others in comparrison.",2020-09-03 02:41:38.743000+00:00,2020-09-03 02:41:38.751000+00:00,93.0,2580.0,2580,but it creates nuclear wastehas major accidentscausing a risk of cancerand the cost of nuclear energy is higher than others in comparrison,negative,0.5830507278442383
53,"I do not think the government has went to far.They are simply asking people to wear a mask, out of respect of others.",2020-09-03 02:42:26.089000+00:00,2020-09-03 02:42:26.097000+00:00,98.0,2580.0,2580,I do not think the government has went to farThey are simply asking people to wear a mask out of respect of others,negative,0.7765445113182068
54,while I can see that as being a global citizen I think its best we keep out since we have our own problems,2020-09-03 02:43:02.103000+00:00,2020-09-03 02:43:02.110000+00:00,96.0,2580.0,2580,while I can see that as being a global citizen I think its best we keep out since we have our own problems,positive,0.6145205497741699
55,it can happen again and can be deadlier due to technology,2020-09-03 02:43:30.800000+00:00,2020-09-03 02:43:30.807000+00:00,94.0,2580.0,2580,it can happen again and can be deadlier due to technology,negative,0.8976531624794006
56,"What about school closings, closed restaurants and other businesses? The economy is suffering, open the country!",2020-09-03 02:44:32.611000+00:00,2020-09-03 02:44:32.619000+00:00,98.0,2593.0,2593,What about school closings closed restaurants and other businesses The economy is suffering open the country,negative,0.889773964881897
57,I completely agree! It's not right!,2020-09-03 02:46:43.855000+00:00,2020-09-03 02:46:43.863000+00:00,97.0,2679.0,2679,I completely agree Its not right,negative,0.617941677570343
58,"He won't, its up to us to take care of ourselves.",2020-09-03 02:48:05.635000+00:00,2020-09-03 02:48:05.646000+00:00,100.0,2679.0,2679,He wont its up to us to take care of ourselves,positive,0.9233289957046509
59,"Global problems are our problems: trade, world poverty, famine, immigration...",2020-09-03 02:48:06.980000+00:00,2020-09-03 02:48:06.988000+00:00,96.0,2593.0,2593,Global problems are our problems trade world poverty famine immigration,negative,0.9584930539131165
60,I think the government waited too long to do anything. Lockdown and restricting groups should have happened almost immediately. SARS was a warning no one heeded along with the MERS virus. ,2020-09-03 02:48:32.667000+00:00,2020-09-03 02:48:32.677000+00:00,98.0,2719.0,2719,I think the government waited too long to do anything Lockdown and restricting groups should have happened almost immediately SARS was a warning no one heeded along with the MERS virus ,negative,0.9814351797103882
