MTurk_ID,d_day0,d_day1,d_day2,d_day3,d_day4,d_day5,d_delta_10,d_delta_21,d_delta_32,d_delta_43,d_delta_54,delta_one,delta_two,delta_three,delta_four,delta_five,topic,id,role
A2ARIPM4X6WZAK,2,2,2,2,2,1,0.0,0.0,0.0,0.0,-1.0,1,1,1,1,1,d,2688,Participant
A98E8M4QLI9RS,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2750,Participant
A3GWRDHAURRNK6,4,3,3,4,4,4,-1.0,0.0,1.0,0.0,0.0,2,3,2,1,0,d,2358,Observer
ARLGZWN6W91WD,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2636,Participant
A3U2VUZ2L7HIWG,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2718,Participant
A25ZOL1H79DW0P,2,1,1,2,2,2,-1.0,0.0,1.0,0.0,0.0,2,3,2,1,0,d,2328,Observer
A1FG2G9TZSDN,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2667,Participant
A28ANDQ58MEMGW,2,2,2,3,3,3,0.0,0.0,1.0,0.0,0.0,1,2,3,2,1,d,2577,Participant
A18XVBWB2A270I,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2338,Observer
A3OHYXTHW11HS7,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2575,Participant
A3L5XFNSOY6QET,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2360,Observer
AADRZTXSE7211,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2618,Participant
AZTYIBLLB60V8,2,2,2,1,1,1,0.0,0.0,-1.0,0.0,0.0,1,2,3,2,1,d,2703,Participant
A15F2JTVAJXITI,1,1,1,1,2,1,0.0,0.0,0.0,1.0,-1.0,2,1,1,1,0,d,2297,Observer
A10IUXCZBNYUXC,1,1,1,1,2,2,0.0,0.0,0.0,1.0,0.0,1,2,2,2,1,d,2658,Participant
A3RVHUY67SVXQV,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2679,Participant
A1Y2G0UNCX95NH,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2604,Participant
A173A97OFDAX9F,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2601,Participant
A27OFCQG73Z4UF,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2321,Observer
A3FJ3XMXO8UAJ0,3,4,4,4,4,4,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,d,2339,Observer
A3PRFA3M7OSCT5,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2622,Participant
