MTurk_ID,e_day0,e_day1,e_day2,e_day3,e_day4,e_day5,e_delta_10,e_delta_21,e_delta_32,e_delta_43,e_delta_54,delta_one,delta_two,delta_three,delta_four,delta_five,topic,id,role
A2ARIPM4X6WZAK,4,3,3,4,3,4,-1.0,0.0,1.0,-1.0,1.0,4,2,1,2,0,e,2688,Participant
A98E8M4QLI9RS,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,e,2750,Participant
A3GWRDHAURRNK6,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,e,2358,Observer
ARLGZWN6W91WD,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,e,2636,Participant
A3U2VUZ2L7HIWG,1,3,3,2,1,1,2.0,0.0,-1.0,-1.0,0.0,3,4,3,1,0,e,2718,Participant
A25ZOL1H79DW0P,2,2,2,2,3,2,0.0,0.0,0.0,1.0,-1.0,2,1,1,1,0,e,2328,Observer
A1FG2G9TZSDN,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,e,2667,Participant
A28ANDQ58MEMGW,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,e,2577,Participant
A18XVBWB2A270I,1,1,1,2,2,2,0.0,0.0,1.0,0.0,0.0,1,2,3,2,1,e,2338,Observer
A3OHYXTHW11HS7,1,2,2,2,2,2,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,e,2575,Participant
A3L5XFNSOY6QET,3,3,3,2,2,2,0.0,0.0,-1.0,0.0,0.0,1,2,3,2,1,e,2360,Observer
AADRZTXSE7211,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,e,2618,Participant
AZTYIBLLB60V8,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,e,2703,Participant
A15F2JTVAJXITI,2,2,2,1,2,2,0.0,0.0,-1.0,1.0,0.0,2,2,1,0,0,e,2297,Observer
A10IUXCZBNYUXC,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,e,2658,Participant
