MTurk_ID	Role	Topic 1	Position 1	Topic 2	Position 2	Topic 3	Position 3	Username 1	Username 2	Username 3	Username 4	Username 5	Username 6	Username 7	Username 8	Strategy
A39IEKRAOTJTD7	participant	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally bad	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Cole_6766								
A2A6FH0F7LD9ND	sockpuppet	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very unlikely	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Emily_3830	Jenna_3798	Cole_9336	Hannah_6992	Diamond_5058	Jake_8222	Connor_9123		COVERT
A2IYR9HF66R029	observer							Kathryn_4635								
A35XEZH95HHO91	participant	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	Carly_7546								
AJ4T7PTRYNSUW	participant	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	Carly_9123								
A3URLNXHLP4ARU	participant	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	 even at the risk of curbing economic growth."	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	Jake_9559								
A2ARIPM4X6WZAK	participant	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	 even at the risk of curbing economic growth."	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very unlikely	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	Allison_3341								
A2VDGWD0BBMSP2	observer							Wyatt_9515								
ARR3UJTM2ZGK4	participant	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very unlikely	Jake_5852								
A3HL2LL0LEPZT8	observer							Allison_1653								
A1LSFPPDGORPB0	observer							Logan_8874								
A37RHUAH74N5ZJ	participant	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly favor	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	Willie_4384								
A2IMAGGCST8170	participant	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally bad	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	 even at the risk of curbing economic growth."	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Dustin_1010								
A22ZB2132UJB6Y	participant	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very unlikely	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	Jacob_8861								
AJMWTFJTL8RLM	observer							Holly_1739								
A1AA4AQMCLT2LP	observer							Luke_3700								
A3L4JI1S352HB8	observer							Willie_3517								
A1VRBTDT3VJSIA	participant	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly favor	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	Carly_7696								
A3QGJXCGRJBIHB	participant	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	Holly_9667								
A2MYLV7DGUL42B	sockpuppet	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	Jacob_7601	Kathryn_2393	Jack_9559	Bradley_9469	Molly_6880	Emily_9688			UNRESTRICTED
A7PEDAB3ALEYA	participant	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very unlikely	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	Katherine_6534								
AA2LN439JA8B0	observer							Raven_3435								
A2F12MSDNGTAU0	participant	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	Katherine_1883								
A1Y22RY2G8RBAG	participant	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	Wyatt_7811								
A8T9PW7KD9Z6P	participant	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	Katherine_2666								
ALN47U1AGCWWD	observer							Luke_2042								
ARHBT4K14I7U	observer							Jacob_5169								
A35AMS7DP33RQZ	observer							Connor_1653								
A1CGW3DQ5JRSJH	observer							Asia_3576								
A37DKV7XQI7N5J	participant	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally bad	Cody_6318								
A38YLXHJTSE5VD	participant	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	Diamond_4587								
A277YP3WU7TZ4G	participant	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very unlikely	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly favor	Dustin_1919								
