,,randomforest,SVM_linear,logistic,NB,xgboost,SVM_rbf,randomforest+SMOTE,SVM_linear+SMOTE,logistic+SMOTE,NB+SMOTE,xgboost+SMOTE,SVM_rbf+SMOTE
COVERT,fit_time,0.006351470947265625,0.02174038887023926,0.0025685787200927734,0.0005024194717407227,0.012508153915405273,0.000838017463684082,0.007935833930969239,0.020084333419799805,0.003490734100341797,0.0012614965438842774,0.010021018981933593,0.0021548032760620116
COVERT,score_time,0.0023844242095947266,0.0020366191864013674,0.0014059066772460938,0.001445913314819336,0.0024322032928466796,0.0020111560821533202,0.002569580078125,0.0020237207412719727,0.0014022350311279296,0.0015197277069091796,0.002414250373840332,0.002024936676025391
COVERT,test_f1,0.03333333333333333,0.2333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.0,0.18761904761904763,0.5521428571428572,0.39499999999999996,0.48428571428571426,0.12380952380952381,0.15571428571428575
COVERT,test_precision,0.025,0.35,0.1,0.0,0.025,0.0,0.16499999999999998,0.4666666666666666,0.3433333333333334,0.37,0.1,0.11583333333333332
COVERT,test_recall,0.05,0.18333333333333332,0.05,0.0,0.05,0.0,0.25,0.75,0.5,0.75,0.16666666666666666,0.26666666666666666
COVERT,test_accuracy,0.5922222222222222,0.7811111111111111,0.7033333333333334,0.7588888888888888,0.5366666666666666,0.5700000000000001,0.5588888888888889,0.7255555555555555,0.6811111111111111,0.6033333333333333,0.49222222222222217,0.4699999999999999
OVERT,fit_time,0.006737303733825683,0.015794897079467775,0.0027853727340698244,0.0004951000213623047,0.005739378929138184,0.000735330581665039,0.007669806480407715,0.020641613006591796,0.003154754638671875,0.0010629653930664062,0.00840773582458496,0.0019414424896240234
OVERT,score_time,0.0025586605072021483,0.002065610885620117,0.0014718532562255859,0.0014656543731689452,0.002395033836364746,0.001987767219543457,0.0025633573532104492,0.002033710479736328,0.0014258384704589843,0.0014484405517578125,0.002410697937011719,0.002024221420288086
OVERT,test_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.1,0.06666666666666667,0.3288888888888889,0.16666666666666666,0.05
OVERT,test_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666665,0.1,0.05,0.21416666666666667,0.11666666666666665,0.03333333333333333
OVERT,test_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.8,0.3,0.1
OVERT,test_accuracy,0.8035714285714285,0.8982142857142857,0.8732142857142857,0.8982142857142857,0.8303571428571429,0.8035714285714285,0.7160714285714286,0.7107142857142857,0.6982142857142858,0.5446428571428572,0.7160714285714286,0.6785714285714286
UNRESTRICTED,fit_time,0.006767702102661133,0.008305168151855469,0.0031778097152709963,0.00048661231994628906,0.00491485595703125,0.0006997108459472657,0.0005156993865966797,0.0005092382431030274,0.0005083322525024414,0.0005054712295532226,0.0005131244659423828,0.0005095243453979492
UNRESTRICTED,score_time,0.00258328914642334,0.0010387420654296875,0.0014151811599731445,0.0014589786529541015,0.0024103641510009764,0.001992201805114746,0.0,0.0,0.0,0.0,0.0,0.0
UNRESTRICTED,test_f1,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,
UNRESTRICTED,test_precision,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,
UNRESTRICTED,test_recall,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,
UNRESTRICTED,test_accuracy,0.8678571428571427,1.0,0.9357142857142857,0.9357142857142857,0.9089285714285715,0.8660714285714286,,,,,,
ALLSOCKS,fit_time,0.006460785865783691,0.01640927791595459,0.0022113561630249024,0.0004877328872680664,0.009101033210754395,0.0009148836135864258,0.007929849624633788,0.019649457931518555,0.0032619476318359376,0.0012196063995361327,0.009278106689453124,0.0021166563034057616
ALLSOCKS,score_time,0.0023284912109375,0.001912689208984375,0.0013985395431518554,0.0014331340789794922,0.002860689163208008,0.0020009994506835936,0.0025565624237060547,0.002012181282043457,0.0014014005661010741,0.0014444828033447266,0.002418375015258789,0.002026653289794922
ALLSOCKS,test_f1,0.16326839826839828,0.12000000000000002,0.17833333333333332,0.0,0.17993506493506492,0.05333333333333333,0.28023809523809523,0.49349206349206354,0.45849206349206345,0.6851082251082251,0.23937950937950933,0.31047619047619046
ALLSOCKS,test_precision,0.1869047619047619,0.15,0.225,0.0,0.1869047619047619,0.03636363636363636,0.25636363636363635,0.5516666666666665,0.5099999999999999,0.5313636363636364,0.23523809523809525,0.25303030303030305
ALLSOCKS,test_recall,0.15833333333333333,0.1,0.14999999999999997,0.0,0.18333333333333332,0.1,0.35000000000000003,0.5083333333333334,0.4833333333333334,1.0,0.25833333333333336,0.425
ALLSOCKS,test_accuracy,0.45999999999999996,0.6454545454545454,0.6363636363636364,0.6645454545454546,0.45999999999999996,0.45999999999999996,0.48,0.6654545454545454,0.6554545454545455,0.6663636363636364,0.4699999999999999,0.479090909090909
