,,randomforest,SVM_linear,logistic,NB,xgboost,SVM_rbf,randomforest+SMOTE,SVM_linear+SMOTE,logistic+SMOTE,NB+SMOTE,xgboost+SMOTE,SVM_rbf+SMOTE
COVERT,fit_time,0.005343031883239746,0.016086840629577638,0.003055429458618164,0.0004892826080322265,0.008022069931030273,0.0008489608764648438,0.008103609085083008,0.021019911766052245,0.004102516174316406,0.0012016773223876953,0.009522056579589844,0.0022333145141601564
COVERT,score_time,0.001937127113342285,0.001936054229736328,0.0013923883438110352,0.0014455795288085937,0.0024125337600708007,0.002012801170349121,0.0025715351104736326,0.002057528495788574,0.001413440704345703,0.0014410734176635743,0.0024281740188598633,0.0020973682403564453
COVERT,test_f1,0.09047619047619049,0.13999999999999999,0.05714285714285715,0.0,0.0,0.0,0.1304761904761905,0.28714285714285714,0.36333333333333334,0.5554761904761906,0.10714285714285716,0.11666666666666665
COVERT,test_precision,0.075,0.13333333333333333,0.04,0.0,0.0,0.0,0.11499999999999999,0.23166666666666663,0.4,0.4583333333333333,0.08333333333333333,0.08333333333333333
COVERT,test_recall,0.11666666666666665,0.15,0.1,0.0,0.0,0.0,0.18333333333333332,0.4166666666666667,0.4333333333333333,0.8,0.16666666666666666,0.2
COVERT,test_accuracy,0.5588888888888889,0.758888888888889,0.6700000000000002,0.7588888888888888,0.5477777777777778,0.5700000000000001,0.5477777777777778,0.6366666666666667,0.6699999999999999,0.6366666666666666,0.49222222222222217,0.43666666666666665
OVERT,fit_time,0.006791949272155762,0.01428065299987793,0.004136848449707031,0.0004995107650756836,0.00584716796875,0.0007508993148803711,0.007764172554016113,0.01842813491821289,0.004158306121826172,0.0010721683502197266,0.008179855346679688,0.0020495176315307615
OVERT,score_time,0.002582144737243652,0.002050638198852539,0.0014171600341796875,0.0014699459075927734,0.002409958839416504,0.001996564865112305,0.0025502443313598633,0.002083492279052734,0.0014069557189941406,0.0014423370361328126,0.0024671316146850585,0.002029561996459961
OVERT,test_f1,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.05,0.2827777777777778,0.4833333333333333,0.2733333333333333,0.15,0.05
OVERT,test_precision,0.0,0.0,0.05,0.0,0.0,0.0,0.03333333333333333,0.2092857142857143,0.4333333333333333,0.18166666666666664,0.13333333333333333,0.03333333333333333
OVERT,test_recall,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.7,0.6,0.6,0.2,0.1
OVERT,test_accuracy,0.8035714285714285,0.8982142857142857,0.8428571428571429,0.8982142857142857,0.8428571428571429,0.8035714285714285,0.7410714285714286,0.45,0.8785714285714284,0.5571428571428572,0.7410714285714286,0.4821428571428572
UNRESTRICTED,fit_time,0.006727838516235351,0.0074065208435058595,0.004118657112121582,0.0004841804504394531,0.005983376502990722,0.0007023811340332031,0.0005271196365356446,0.0005163192749023437,0.0005171060562133789,0.0005158662796020507,0.0005205392837524414,0.0005146265029907227
UNRESTRICTED,score_time,0.0025782346725463866,0.0010503053665161133,0.0014320611953735352,0.001455378532409668,0.002411675453186035,0.002000880241394043,0.0,0.0,0.0,0.0,0.0,0.0
UNRESTRICTED,test_f1,0.0,0.0,0.1,0.0,0.0,0.0,,,,,,
UNRESTRICTED,test_precision,0.0,0.0,0.1,0.0,0.0,0.0,,,,,,
UNRESTRICTED,test_recall,0.0,0.0,0.1,0.0,0.0,0.0,,,,,,
UNRESTRICTED,test_accuracy,0.8660714285714286,1.0,0.9071428571428573,0.9357142857142857,0.8660714285714286,0.8660714285714286,,,,,,
ALLSOCKS,fit_time,0.006486320495605468,0.0165585994720459,0.0027198314666748045,0.0004913091659545898,0.00805046558380127,0.0009469747543334961,0.008185410499572754,0.019973230361938477,0.0038234233856201173,0.001216554641723633,0.009665846824645996,0.0021677732467651365
ALLSOCKS,score_time,0.002318930625915527,0.001955080032348633,0.0013831377029418946,0.001437997817993164,0.00242917537689209,0.002008509635925293,0.002585172653198242,0.002045083045959473,0.0014011859893798828,0.0014590978622436523,0.00242767333984375,0.0020362377166748048
ALLSOCKS,test_f1,0.2119047619047619,0.03333333333333333,0.10500000000000001,0.0,0.10079365079365081,0.05333333333333333,0.23787878787878786,0.45904761904761904,0.4272222222222222,0.6089393939393939,0.17590909090909093,0.28287878787878784
ALLSOCKS,test_precision,0.20303030303030303,0.05,0.175,0.0,0.10333333333333332,0.03636363636363636,0.21255411255411252,0.44666666666666666,0.4699999999999999,0.4903571428571428,0.14642857142857144,0.22255411255411253
ALLSOCKS,test_recall,0.25833333333333336,0.025,0.08333333333333333,0.0,0.1,0.1,0.30833333333333335,0.4916666666666667,0.475,0.85,0.225,0.4
ALLSOCKS,test_accuracy,0.45999999999999996,0.6445454545454545,0.5854545454545454,0.6645454545454546,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.6963636363636365,0.6263636363636363,0.6663636363636364,0.45999999999999996,0.47000000000000003
