,,randomforest,SVM_linear,logistic,NB,xgboost,SVM_rbf,randomforest+SMOTE,SVM_linear+SMOTE,logistic+SMOTE,NB+SMOTE,xgboost+SMOTE,SVM_rbf+SMOTE
COVERT,test_f1,0.2987590187590188,0.0,0.0,0.0,0.588095238095238,0.18,0.5422222222222222,0.21816993464052287,0.14722222222222223,0.44745098039215686,0.5713131313131313,0.4019883040935673
COVERT,test_precision,0.4238095238095238,0.0,0.0,0.0,0.6366666666666666,0.3333333333333333,0.52,0.14903762903762902,0.16428571428571428,0.30378954378954376,0.5,0.2696503496503497
COVERT,test_recall,0.27999999999999997,0.0,0.0,0.0,0.5599999999999999,0.13,0.6,0.42000000000000004,0.18,0.8699999999999999,0.6900000000000001,0.8
COVERT,test_accuracy,0.7561904761904762,0.7866666666666665,0.777142857142857,0.7866666666666665,0.8347619047619048,0.8057142857142857,0.7971428571428572,0.37761904761904763,0.4809523809523809,0.5447619047619048,0.7861904761904762,0.6038095238095238
OVERT,test_f1,0.4666666666666666,0.0,0.0,0.0,0.5599999999999999,0.0,0.4666666666666666,0.2632034632034632,0.4333333333333333,0.16283716283716285,0.5599999999999999,0.0
OVERT,test_precision,0.4,0.0,0.0,0.0,0.5333333333333333,0.0,0.4,0.15299145299145298,0.4,0.09303030303030305,0.5333333333333333,0.0
OVERT,test_recall,0.6,0.0,0.0,0.0,0.6,0.0,0.6,1.0,0.5,0.7,0.6,0.0
OVERT,test_accuracy,0.9111111111111111,0.9104575163398693,0.8764705882352942,0.9104575163398693,0.9444444444444443,0.9104575163398693,0.9111111111111111,0.5058823529411764,0.8986928104575164,0.4385620915032679,0.9333333333333332,0.8882352941176471
UNRESTRICTED,test_f1,0.13333333333333333,,0.21333333333333332,0.0,0.13333333333333333,0.0,,,,,,
UNRESTRICTED,test_precision,0.1,,0.15,0.0,0.1,0.0,,,,,,
UNRESTRICTED,test_recall,0.2,,0.4,0.0,0.2,0.0,,,,,,
UNRESTRICTED,test_accuracy,0.9418300653594771,,0.9183006535947713,0.9418300653594771,0.9300653594771241,0.9418300653594771,,,,,,
ALLSOCKS,test_f1,0.5257659987071751,0.0,0.0,0.0,0.7144494720965309,0.31333333333333335,0.6705042016806724,0.3173137388926862,0.276969696969697,0.5533333333333333,0.7845098039215687,0.5857060041407867
ALLSOCKS,test_precision,0.5169047619047619,0.0,0.0,0.0,0.6733333333333333,0.8333333333333333,0.6150793650793651,0.23688213747037276,0.2161538461538462,0.4095625942684766,0.7061111111111111,0.4259920634920634
ALLSOCKS,test_recall,0.5428571428571429,0.0,0.0,0.0,0.7714285714285716,0.2,0.7428571428571429,0.48571428571428565,0.4,0.8571428571428571,0.8857142857142858,0.9428571428571428
ALLSOCKS,test_accuracy,0.697463768115942,0.6981884057971015,0.6898550724637681,0.6981884057971015,0.8184782608695652,0.7416666666666666,0.7760869565217392,0.38007246376811593,0.3710144927536232,0.5782608695652174,0.8528985507246377,0.5952898550724638
