,,randomforest,SVM_linear,logistic,NB,xgboost,SVM_rbf,randomforest+SMOTE,SVM_linear+SMOTE,logistic+SMOTE,NB+SMOTE,xgboost+SMOTE,SVM_rbf+SMOTE
COVERT,test_f1,0.27714285714285714,0.0,0.0,0.0,0.32337662337662343,0.13714285714285715,0.4431746031746032,0.32825396825396824,0.31359649122807015,0.46499484004127967,0.38564102564102565,0.30126050420168066
COVERT,test_precision,0.44000000000000006,0.0,0.0,0.0,0.35,0.3,0.3822222222222222,0.2288871912401324,0.20963369963369965,0.3142657342657343,0.3416666666666667,0.24833333333333335
COVERT,test_recall,0.22999999999999998,0.0,0.0,0.0,0.30999999999999994,0.09,0.54,0.64,0.6300000000000001,0.9199999999999999,0.45,0.45
COVERT,test_accuracy,0.7276190476190477,0.7866666666666665,0.7866666666666665,0.7866666666666665,0.7566666666666666,0.7466666666666666,0.7180952380952382,0.43380952380952376,0.39571428571428574,0.5542857142857143,0.699047619047619,0.6319047619047619
OVERT,test_f1,0.49333333333333335,0.0,0.0,0.0,0.4333333333333333,0.4666666666666666,0.5165079365079366,0.09743589743589744,0.11153846153846154,0.2636696636696637,0.5809523809523809,0.43939393939393934
OVERT,test_precision,0.5333333333333333,0.0,0.0,0.0,0.5,0.6,0.3538095238095238,0.06666666666666667,0.06666666666666667,0.15444444444444444,0.43,0.34444444444444444
OVERT,test_recall,0.5,0.0,0.0,0.0,0.4,0.4,1.0,0.3,0.5,1.0,0.9,0.7
OVERT,test_accuracy,0.9320261437908496,0.9104575163398693,0.9104575163398693,0.9104575163398693,0.9209150326797385,0.9437908496732026,0.8215686274509804,0.515032679738562,0.4816993464052287,0.49411764705882355,0.8771241830065358,0.8431372549019608
UNRESTRICTED,test_f1,0.13333333333333333,,0.0,0.0,0.0,0.4,,,,,,
UNRESTRICTED,test_precision,0.1,,0.0,0.0,0.0,0.4,,,,,,
UNRESTRICTED,test_recall,0.2,,0.0,0.0,0.0,0.4,,,,,,
UNRESTRICTED,test_accuracy,0.9300653594771241,,0.9418300653594771,0.9418300653594771,0.9300653594771241,0.95359477124183,,,,,,
ALLSOCKS,test_f1,0.5975867269984917,0.0,0.0,0.0,0.5249816849816848,0.31414141414141417,0.6370965309200604,0.41126651126651126,0.435649933590437,0.6110118577075099,0.6590573152337857,0.48102073365231257
ALLSOCKS,test_precision,0.6533333333333333,0.0,0.0,0.0,0.5419047619047619,0.395,0.5844444444444444,0.296221322537112,0.32179824561403503,0.4409640522875817,0.6194444444444445,0.468974358974359
ALLSOCKS,test_recall,0.6,0.0,0.0,0.0,0.5142857142857142,0.2857142857142857,0.7142857142857142,0.6857142857142857,0.6857142857142857,1.0,0.7142857142857143,0.6
ALLSOCKS,test_accuracy,0.7579710144927536,0.6981884057971015,0.6981884057971015,0.6981884057971015,0.7239130434782608,0.7061594202898551,0.758695652173913,0.40362318840579714,0.44818840579710145,0.6126811594202899,0.7760869565217391,0.6471014492753623
